,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi
0,0,0,0,0,248,2022-09-05,"1,277.35","1,280.51","1,285.70","1,275.35",524.68K,-0.25%
1,1,1,1,1,247,2022-09-06,"1,277.40","1,279.58","1,286.92","1,277.40",581.46K,0.00%
2,2,2,2,2,246,2022-09-07,"1,243.17","1,277.40","1,277.40","1,243.17",852.27K,-2.68%
3,3,3,3,3,245,2022-09-08,"1,234.60","1,243.17","1,251.36","1,234.60",599.61K,-0.69%
4,4,4,4,4,244,2022-09-09,"1,248.78","1,234.60","1,248.78","1,228.54",586.03K,1.15%
5,5,5,5,5,243,2022-09-12,"1,249.62","1,248.78","1,257.80","1,248.78",410.19K,0.07%
6,6,6,6,6,242,2022-09-13,"1,248.40","1,249.62","1,252.35","1,243.87",473.97K,-0.10%
7,7,7,7,7,241,2022-09-14,"1,240.77","1,248.40","1,248.40","1,228.51",607.86K,-0.61%
8,8,8,8,8,240,2022-09-15,"1,245.66","1,240.77","1,250.93","1,240.77",429.84K,0.39%
9,9,9,9,9,239,2022-09-16,"1,234.03","1,245.66","1,246.17","1,230.37",632.37K,-0.93%
10,10,10,10,10,238,2022-09-19,"1,205.43","1,234.03","1,234.03","1,202.07",701.96K,-2.32%
11,11,11,11,11,237,2022-09-20,"1,218.93","1,212.08","1,218.93","1,199.71",473.89K,1.12%
12,12,12,12,12,236,2022-09-21,"1,210.55","1,218.93","1,218.93","1,204.68",391.71K,-0.69%
13,13,13,13,13,235,2022-09-22,"1,214.70","1,210.55","1,214.70","1,196.64",473.56K,0.34%
14,14,14,14,14,234,2022-09-23,"1,203.28","1,214.70","1,216.59","1,201.45",485.38K,-0.94%
15,15,15,15,15,233,2022-09-26,"1,174.35","1,203.28","1,203.28","1,159.12",757.09K,-2.40%
16,16,16,16,16,232,2022-09-27,"1,166.54","1,174.35","1,180.75","1,166.44",466.62K,-0.67%
17,17,17,17,17,231,2022-09-28,"1,143.62","1,166.54","1,166.54","1,142.79",527.70K,-1.96%
18,18,18,18,18,230,2022-09-29,"1,126.07","1,143.62","1,159.49","1,126.07",491.47K,-1.53%
19,19,19,19,19,229,2022-09-30,"1,132.11","1,126.07","1,135.47","1,099.44",729.67K,0.54%
20,20,20,20,20,228,2022-10-03,"1,086.44","1,132.11","1,132.11","1,079.86",554.15K,-4.03%
21,21,21,21,21,227,2022-10-04,"1,078.14","1,086.44","1,100.42","1,069.74",582.82K,-0.76%
22,22,22,22,22,226,2022-10-05,"1,104.26","1,078.14","1,110.21","1,078.14",451.94K,2.42%
23,23,23,23,23,225,2022-10-06,"1,074.52","1,104.26","1,106.97","1,072.57",545.82K,-2.69%
24,24,24,24,24,224,2022-10-07,"1,035.91","1,074.52","1,074.52","1,022.38",877.31K,-3.59%
25,25,25,25,25,223,2022-10-10,"1,042.48","1,035.91","1,051.02","1,012.94",692.98K,0.63%
26,26,26,26,26,222,2022-10-11,"1,006.20","1,042.48","1,042.48",998.64,672.10K,-3.48%
27,27,27,27,27,221,2022-10-12,"1,034.81","1,006.20","1,039.44","1,002.89",616.14K,2.84%
28,28,28,28,28,220,2022-10-13,"1,050.99","1,034.81","1,050.99","1,025.04",477.33K,1.56%
29,29,29,29,29,219,2022-10-14,"1,061.85","1,050.99","1,068.12","1,050.99",641.48K,1.03%
30,30,30,30,30,218,2022-10-17,"1,051.58","1,061.85","1,061.85","1,033.59",497.42K,-0.97%
31,31,31,31,31,217,2022-10-18,"1,063.66","1,051.58","1,071.74","1,051.58",514.84K,1.15%
32,32,32,32,32,216,2022-10-19,"1,060.07","1,063.66","1,065.99","1,052.29",400.66K,-0.34%
33,33,33,33,33,215,2022-10-20,"1,058.45","1,056.14","1,065.28","1,048.21",398.33K,-0.15%
34,34,34,34,34,214,2022-10-21,"1,019.82","1,058.45","1,059.09","1,013.69",742.10K,-3.65%
35,35,35,35,35,213,2022-10-24,986.15,"1,019.82","1,023.51",977.41,654.95K,-3.30%
36,36,36,36,36,212,2022-10-25,997.70,986.15,"1,011.39",962.45,751.18K,1.17%
37,37,37,37,37,211,2022-10-26,993.36,997.70,"1,004.55",984.71,448.28K,-0.44%
38,38,38,38,38,210,2022-10-27,"1,028.01",993.36,"1,028.01",990.48,647.72K,3.49%
39,39,39,39,39,209,2022-10-28,"1,027.36","1,028.01","1,044.57","1,026.53",654.70K,-0.06%
40,40,40,40,40,208,2022-10-31,"1,027.94","1,028.24","1,030.32","1,005.00",662.04K,0.06%
41,41,41,41,41,207,2022-11-01,"1,033.75","1,027.94","1,043.53","1,027.39",613.98K,0.57%
42,42,42,42,42,206,2022-11-02,"1,023.19","1,033.75","1,034.73","1,018.64",578.23K,-1.02%
43,43,43,43,43,205,2022-11-03,"1,019.81","1,023.19","1,023.95","1,010.65",442.89K,-0.33%
44,44,44,44,44,204,2022-11-04,997.15,"1,008.23","1,009.96",974.61,753.11K,-2.22%
45,45,45,45,45,203,2022-11-07,975.19,997.15,997.15,969.61,646.85K,-2.20%
46,46,46,46,46,202,2022-11-08,981.65,975.19,981.86,956.97,660.72K,0.66%
47,47,47,47,47,201,2022-11-09,985.59,981.65,994.79,977.93,583.06K,0.40%
48,48,48,48,48,200,2022-11-10,947.24,975.97,976.31,935.78,698.76K,-3.89%
49,49,49,49,49,199,2022-11-11,954.53,947.24,966.70,947.24,736.49K,0.77%
50,50,50,50,50,198,2022-11-14,941.04,954.53,954.53,923.53,666.06K,-1.41%
51,51,51,51,51,197,2022-11-15,911.90,941.04,941.04,900.17,692.34K,-3.10%
52,52,52,52,52,196,2022-11-16,942.90,911.90,945.42,873.78,1.05M,3.40%
53,53,53,53,53,195,2022-11-17,969.26,942.90,972.88,942.90,724.46K,2.80%
54,54,54,54,54,194,2022-11-18,969.33,969.26,971.77,939.73,960.58K,0.01%
55,55,55,55,55,193,2022-11-21,960.65,969.33,973.19,956.77,597.72K,-0.90%
56,56,56,56,56,192,2022-11-22,952.12,960.65,985.28,948.52,1.05M,-0.89%
57,57,57,57,57,191,2022-11-23,946.00,952.12,958.61,942.02,542.12K,-0.64%
58,58,58,58,58,190,2022-11-24,947.71,946.00,950.03,934.31,543.14K,0.18%
59,59,59,59,59,189,2022-11-25,971.46,947.71,971.46,947.71,622.50K,2.51%
60,60,60,60,60,188,2022-11-28,"1,005.69",971.46,"1,006.22",971.46,973.79K,3.52%
61,61,61,61,61,187,2022-11-29,"1,032.16","1,005.69","1,032.16",998.56,1.18M,2.63%
62,62,62,62,62,186,2022-11-30,"1,048.42","1,032.16","1,048.42","1,021.54",1.14M,1.58%
63,63,63,63,63,185,2022-12-01,"1,036.28","1,048.42","1,066.28","1,035.62",1.34M,-1.16%
64,64,64,64,64,184,2022-12-02,"1,080.01","1,036.28","1,080.01","1,030.81",1.09M,4.22%
65,65,65,65,65,183,2022-12-05,"1,093.67","1,080.01","1,099.45","1,080.01",1.26M,1.26%
66,66,66,66,66,182,2022-12-06,"1,048.69","1,093.67","1,093.67","1,048.69",1.48M,-4.11%
67,67,67,67,67,181,2022-12-07,"1,041.02","1,048.69","1,059.79","1,034.92",920.94K,-0.73%
68,68,68,68,68,180,2022-12-08,"1,050.53","1,041.02","1,078.09","1,041.02",916.99K,0.91%
69,69,69,69,69,179,2022-12-09,"1,051.81","1,050.53","1,061.21","1,041.39",788.20K,0.12%
70,70,70,70,70,178,2022-12-12,"1,032.07","1,051.81","1,065.16","1,032.07",909.57K,-1.88%
71,71,71,71,71,177,2022-12-13,"1,047.45","1,032.07","1,047.45","1,026.30",798.74K,1.49%
72,72,72,72,72,176,2022-12-14,"1,050.43","1,047.45","1,062.18","1,046.43",792.04K,0.28%
73,73,73,73,73,175,2022-12-15,"1,055.32","1,049.16","1,062.61","1,049.06",731.12K,0.47%
74,74,74,74,74,174,2022-12-16,"1,052.48","1,055.32","1,064.79","1,047.16",881.53K,-0.27%
75,75,75,75,75,173,2022-12-19,"1,038.40","1,052.48","1,065.59","1,038.40",988.84K,-1.34%
76,76,76,76,76,172,2022-12-20,"1,023.13","1,038.40","1,038.74","1,010.08",1.08M,-1.47%
77,77,77,77,77,171,2022-12-21,"1,018.88","1,033.34","1,033.84","1,005.43",857.33K,-0.42%
78,78,78,78,78,170,2022-12-22,"1,022.61","1,018.88","1,033.18","1,016.54",714.22K,0.37%
79,79,79,79,79,169,2022-12-23,"1,020.34","1,022.61","1,027.34","1,013.20",544.11K,-0.22%
80,80,80,80,80,168,2022-12-26,985.21,"1,020.34","1,021.89",985.21,623.49K,-3.44%
81,81,81,81,81,167,2022-12-27,"1,004.57",985.21,"1,007.88",983.67,593.36K,1.97%
82,82,82,82,82,166,2022-12-28,"1,015.66","1,004.57","1,020.52",998.97,590.45K,1.10%
83,83,83,83,83,165,2022-12-29,"1,009.29","1,015.66","1,021.96","1,009.29",462.66K,-0.63%
84,84,84,84,84,164,2022-12-30,"1,007.09","1,009.29","1,017.99","1,007.09",407.14K,-0.22%
85,85,85,85,85,163,2023-01-03,"1,043.90","1,007.09","1,043.90","1,007.09",551.33K,3.66%
86,86,86,86,86,162,2023-01-04,"1,046.35","1,043.90","1,052.60","1,041.56",647.73K,0.23%
87,87,87,87,87,161,2023-01-05,"1,055.82","1,048.17","1,058.14","1,046.64",535.05K,0.91%
